Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status"
-,-,2240-HG1360B-ND,HG1360B,"Transforming Technologies, LlC",ESD HEEL GROUNDER CUP STYLE BLUE,0,0,"Active","0","0","-","*","Active"
-,-,2240-JKC9025SPLB-ND,JKC9025SPLB,"Transforming Technologies, LlC",ESD JACKET SNAP CUFF XL LT BLUE,0,0,"Active","0","0","-","*","Active"
-,-,2240-GL4505T-ND,GL4505T,"Transforming Technologies, LlC",XL ESD NYLON GLOVES FINGER CTD,0,0,"Active","0","0","-","*","Active"
-,-,2240-MT4524GN-ND,MT4524GN,"Transforming Technologies, LlC",2LYR ESD TBL MAT 24""X50' GREEN,0,0,"Active","0","0","-","*","Active"
-,-,2240-JKC9028SPBK-ND,JKC9028SPBK,"Transforming Technologies, LlC",ESD JACKET SNAP CUFF 4XL BLACK,0,0,"Active","0","0","-","*","Active"
-,-,2240-JKC9024SPMR-ND,JKC9024SPMR,"Transforming Technologies, LlC",ESD JACKET SNAP CUFF L MAROON,0,0,"Active","0","0","-","*","Active"
-,-,2240-CS1090-ND,CS1090,"Transforming Technologies, LlC","ESD UNIVERSAL SNAP KIT, 10MM",0,0,"Active","0","0","-","*","Active"
-,-,2240-MT4524B-ND,MT4524B,"Transforming Technologies, LlC",2LYR ESD TBL MAT 24""X50' BLUE,0,0,"Active","0","0","-","*","Active"
-,-,2240-MT2448B-ND,MT2448B,"Transforming Technologies, LlC",2LYR ESD TABLE MAT 24""X48"" BLUE,0,0,"Active","0","0","-","*","Active"
-,-,2240-JKC9025SPOR-ND,JKC9025SPOR,"Transforming Technologies, LlC",ESD JACKET SNAP CUFF XL ORANGE,0,0,"Active","0","0","-","*","Active"
-,-,2240-JKC9025SPGN-ND,JKC9025SPGN,"Transforming Technologies, LlC",ESD JACKET SNAP CUFF XL YLW-GRN,0,0,"Active","0","0","-","*","Active"
